City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,Tarko-Sale,64.9225,77.785,17.33,85,100,18.16,RU,2022-04-17 04:44:08
225,Shushtar,32.0455,48.8567,75.13,16,7,6.06,IR,2022-04-17 04:44:08
226,Borba,-4.3878,-59.5939,73.42,98,99,1.12,BR,2022-04-17 04:44:08
227,Oriximina,-1.7656,-55.8661,74.07,96,100,1.57,BR,2022-04-17 04:44:08
228,Otsuki,35.6,138.9333,57.83,85,100,2.17,JP,2022-04-17 04:42:08
229,Moranbah,-22.0016,148.0466,84.04,27,0,13.06,AU,2022-04-17 04:44:09
230,Vyazemskiy,47.5378,134.7525,46.56,44,86,17.16,RU,2022-04-17 04:44:09
231,Santa Maria,-29.6842,-53.8069,52.16,95,0,4.7,BR,2022-04-17 04:44:09
232,Yashiro,34.9167,134.9667,67.28,22,14,3.06,JP,2022-04-17 04:44:10
233,Champasak,14.75,106.0,97.79,38,98,0.92,LA,2022-04-17 04:44:10
234,Sturgeon Bay,44.8342,-87.377,30.56,64,100,10.36,US,2022-04-17 04:43:52
235,Sangar,63.9242,127.4739,24.58,84,89,3.15,RU,2022-04-17 04:44:10
236,Rio Grande,-32.035,-52.0986,56.95,74,91,9.53,BR,2022-04-17 04:44:11
237,Svetlogorsk,52.6333,29.7333,34.07,82,100,13.82,BY,2022-04-17 04:44:11
238,Auki,-8.7676,160.7034,82.53,77,88,1.63,SB,2022-04-17 04:44:11
239,Storforshei,66.4043,14.5233,37.65,100,100,2.3,NO,2022-04-17 04:44:12
240,Zemio,5.0314,25.1361,69.71,93,94,2.42,CF,2022-04-17 04:44:12
241,La Ronge,55.1001,-105.2842,30.45,43,100,3.44,CA,2022-04-17 04:44:12
242,Erzin,36.9559,36.2,66.07,48,21,2.3,TR,2022-04-17 04:44:13
243,Kodinsk,58.6881,99.1844,55.42,69,100,12.01,RU,2022-04-17 04:44:13
244,Limoges,45.75,1.3333,46.96,71,0,10.36,FR,2022-04-17 04:44:13
245,Opuwo,-18.0607,13.84,66.11,43,84,4.54,NA,2022-04-17 04:44:07
246,Mantua,45.1667,10.7833,47.44,79,18,0.25,IT,2022-04-17 04:44:14
247,Thatcham,51.4037,-1.2605,46.15,91,99,4.72,GB,2022-04-17 04:44:14
248,Rehoboth,-23.3167,17.0833,56.26,49,14,1.63,NA,2022-04-17 04:44:14
